filename,species,status
C:/Users/Natalia/Desktop/PADIA/endansys/dataset/training/Aguila_arpia_peligro/1.jpg,aguila arpia,1
C:/Users/Natalia/Desktop/PADIA/endansys/dataset/training/Aguila_arpia_peligro/12.jpg,aguila arpia,1
C:/Users/Natalia/Desktop/PADIA/endansys/dataset/training/Aguila_arpia_peligro/14.jpg,aguila arpia,1
C:/Users/Natalia/Desktop/PADIA/endansys/dataset/training/Aguila_arpia_peligro/16.jpg,aguila arpia,1
C:/Users/Natalia/Desktop/PADIA/endansys/dataset/training/Aguila_arpia_peligro/17.jpg,aguila arpia,1
C:/Users/Natalia/Desktop/PADIA/endansys/dataset/training/Aguila_arpia_peligro/19.jpg,aguila arpia,1
C:/Users/Natalia/Desktop/PADIA/endansys/dataset/training/Aguila_arpia_peligro/2.jpg,aguila arpia,1
C:/Users/Natalia/Desktop/PADIA/endansys/dataset/training/Aguila_arpia_peligro/20.jpg,aguila arpia,1
C:/Users/Natalia/Desktop/PADIA/endansys/dataset/training/Aguila_arpia_peligro/21.jpg,aguila arpia,1
C:/Users/Natalia/Desktop/PADIA/endansys/dataset/training/Aguila_arpia_peligro/22.jpg,aguila arpia,1
C:/Users/Natalia/Desktop/PADIA/endansys/dataset/training/Aguila_arpia_peligro/24.jpg,aguila arpia,1
C:/Users/Natalia/Desktop/PADIA/endansys/dataset/training/Aguila_arpia_peligro/25.jpg,aguila arpia,1
C:/Users/Natalia/Desktop/PADIA/endansys/dataset/training/Aguila_arpia_peligro/28.jpg,aguila arpia,1
C:/Users/Natalia/Desktop/PADIA/endansys/dataset/training/Aguila_arpia_peligro/29.jpg,aguila arpia,1
C:/Users/Natalia/Desktop/PADIA/endansys/dataset/training/Aguila_arpia_peligro/31.jpg,aguila arpia,1
C:/Users/Natalia/Desktop/PADIA/endansys/dataset/training/Aguila_arpia_peligro/32.jpg,aguila arpia,1
C:/Users/Natalia/Desktop/PADIA/endansys/dataset/training/Aguila_arpia_peligro/33.jpg,aguila arpia,1
C:/Users/Natalia/Desktop/PADIA/endansys/dataset/training/Aguila_arpia_peligro/34.jpg,aguila arpia,1
C:/Users/Natalia/Desktop/PADIA/endansys/dataset/training/Aguila_arpia_peligro/35.jpg,aguila arpia,1
C:/Users/Natalia/Desktop/PADIA/endansys/dataset/training/Aguila_arpia_peligro/38.jpg,aguila arpia,1
C:/Users/Natalia/Desktop/PADIA/endansys/dataset/training/Aguila_arpia_peligro/40.jpg,aguila arpia,1
C:/Users/Natalia/Desktop/PADIA/endansys/dataset/training/Aguila_arpia_peligro/41.jpg,aguila arpia,1
C:/Users/Natalia/Desktop/PADIA/endansys/dataset/training/Aguila_arpia_peligro/44.jpg,aguila arpia,1
C:/Users/Natalia/Desktop/PADIA/endansys/dataset/training/Aguila_arpia_peligro/45.jpg,aguila arpia,1
